Price,Close,High,Low,Open,Volume
Ticker,BEML.NS,BEML.NS,BEML.NS,BEML.NS,BEML.NS
Date,,,,,
2010-01-04,820.5531005859375,831.6807338268034,810.0035364159098,810.0035364159098,120698
2010-01-05,819.8305053710938,830.2355385707782,815.6034115405322,828.645861810857,70653
2010-01-06,823.4432983398438,841.2547255100197,816.5427076098142,823.7323066588019,153062
2010-01-07,826.7310180664062,837.7502525432975,808.7028472906582,825.1774739431429,139957
2010-01-08,826.6588745117188,846.854793987172,823.7324487673836,835.2936213772778,201928
2010-01-11,821.5646362304688,837.7863871829545,819.4691556699519,833.8483541683606,69948
2010-01-12,826.3697509765625,835.9438391640869,807.1493094278619,830.9580658427818,134605
2010-01-13,825.3582153320312,835.8716469627263,812.8938333066857,816.506725742216,66070
2010-01-14,829.6575927734375,844.325802204154,827.4537140615748,829.8743359656725,111917
2010-01-15,872.1808471679688,890.2090181504906,831.6806683014408,838.1115356553923,583816
2010-01-18,893.2799682617188,912.1029513075632,864.9189772733142,877.9252422477543,433315
2010-01-19,882.44140625,921.2796456985672,877.9975690642985,901.0475950817555,336452
2010-01-20,857.1151733398438,897.3624237025642,851.6236485686272,885.801252774444,171504
2010-01-21,831.0665893554688,858.271446486037,820.842165424044,853.3579375949,127382
2010-01-22,845.951416015625,852.5629458889598,790.5662381496059,827.3451771768808,153347
2010-01-25,834.354248046875,852.237890450016,828.0678580530538,834.571043590074,61227
2010-01-27,764.9150390625,848.227627089004,754.3654748931792,837.3890545673196,186953
2010-01-28,750.9693603515625,783.2683339842022,745.6945783909629,778.9328946042818,192110
2010-01-29,772.393798828125,776.5485761761022,726.1852869117068,750.9695253441616,120730
2010-02-01,823.8045654296875,830.1632196919603,759.6401632717304,768.8168449946994,168411
2010-02-02,800.5740356445312,844.6870609415053,794.8657144354428,830.9581944389738,86197
2010-02-03,808.413818359375,827.9954803932183,798.5145372195129,808.8473570208059,99651
2010-02-04,787.820556640625,823.6962370930402,784.0631863763668,813.4718666315076,73878
2010-02-05,773.4777221679688,786.8814502343628,734.5672068091346,759.423659681401,108938
2010-02-08,791.6862182617188,801.3325183785091,769.9367594458784,787.4591772825731,70766
2010-02-09,801.3325805664062,805.0177378106267,780.3779845961011,790.4940090839198,64820
2010-02-10,791.5419921875,814.9894819782345,747.8624995803549,802.0554259843384,57485
2010-02-11,809.6784057617188,815.784132757728,791.2889072270859,795.5882141740859,251827
2010-02-15,823.4794311523438,835.9438116797317,814.3388819411883,814.7001554315021,157129
2010-02-16,822.2149658203125,833.1258555641876,817.2292446019067,830.2355626619548,74591
2010-02-17,825.7195434570312,859.8610728884873,823.0460458181637,849.0224995974645,86202
2010-02-18,817.2291870117188,834.5709432030417,814.0860185759233,834.5709432030417,53398
2010-02-19,806.6798095703125,832.1866458875987,792.1561299283533,819.6861297074406,94405
2010-02-22,790.4940795898438,828.7904352407181,784.8218914213383,815.7841168820316,98766
2010-02-23,769.5394897460938,791.2166872357981,767.3717961801594,788.3263942371708,116988
2010-02-24,756.1355590820312,778.0656263592863,749.4517648897992,769.5392800465876,396103
2010-02-25,730.62890625,763.036275065305,723.2947767681001,738.9384584576816,249093
2010-02-26,732.3631591796875,752.053274222813,729.7980594207123,738.3966734706721,96809
2010-03-02,752.9203491210938,758.7009352560381,740.8533729460938,747.8623624360544,77877
2010-03-03,748.476318359375,765.7819397020564,744.2492776227283,760.1458853865274,82650
2010-03-04,757.9060668945312,760.8685725582591,744.9720142298125,750.0300005404874,81109
2010-03-05,769.0335693359375,778.8605849887975,763.0362410737873,764.4091221852178,112496
2010-03-08,773.0078125,780.4502877915771,770.9845970306537,776.0426357040195,46299
2010-03-09,768.6362915039062,775.8981567016513,763.903445810218,766.7576062626276,38772
2010-03-10,765.6015014648438,778.9329616872529,763.7589487337564,769.5395350714838,32823
2010-03-11,754.9796752929688,776.692952889881,752.6674513797042,776.692952889881,46731
2010-03-12,748.693359375,762.2416156170168,742.8043750579928,758.7009880349345,42097
2010-03-15,736.6985473632812,760.8685783324989,734.1334477833875,760.8685783324989,84728
2010-03-16,743.6713256835938,747.1396348770038,734.2055834727288,739.9139034472917,59047
2010-03-17,750.6441040039062,756.5330343391576,744.9719168029873,746.4170630407664,62877
2010-03-18,758.1590576171875,768.0944211706429,750.0662468732228,752.9204075714689,82243
