Price,Close,High,Low,Open,Volume
Ticker,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS
Date,,,,,
2010-03-22,681.2693481445312,686.2161516722465,670.691402000879,670.691402000879,38940
2010-03-23,682.73583984375,684.3391391368715,676.5181204038787,683.5179417170492,22266
2010-03-25,683.6937255859375,686.685274054785,680.4284606237619,683.5568673392735,42054
2010-03-26,683.8892211914062,688.0539219970099,682.7747358947311,685.5120916514682,30950
2010-03-29,687.40869140625,688.2494602372019,682.7747486216787,688.2103647013732,126238
2010-03-30,693.059326171875,693.900047172069,684.3388745617542,684.3388745617542,199730
2010-03-31,695.288330078125,698.0256857083538,674.5626374492495,692.1599236435777,285456
2010-04-01,691.7103271484375,697.6347574214383,688.2495364695803,697.2437065484442,207826
2010-04-05,698.06494140625,703.1095074865257,686.6853699367848,693.6851904872677,76452
2010-04-06,689.364013671875,698.4168508206379,686.3138455403952,698.4168508206379,9664
2010-04-07,688.6210327148438,695.9923800414298,684.3977118236053,691.7690114144879,4160
2010-04-08,692.1795654296875,696.0314066954647,685.903180289995,685.903180289995,11100
2010-04-09,696.1683349609375,696.8526740066792,690.2048089909028,692.1600634073077,17090
2010-04-12,699.88330078125,701.1542161200063,684.7300794345405,690.8695590536361,51604
2010-04-13,704.3216552734375,706.628864766411,695.1319605739296,703.8915088984725,13730
2010-04-15,707.8803100585938,713.6678823908951,703.9502772106861,707.4110680795228,34126
2010-04-16,714.7628173828125,723.835178702304,694.897413589408,710.148397905664,33976
2010-04-19,724.06982421875,728.5669094900331,704.4586123798833,713.628784465792,25450
2010-04-20,728.5473022460938,730.8740356999224,720.7849047163661,726.9635272157067,84744
2010-04-21,749.7617797851562,754.2783882563335,723.4440396798221,729.2707066276262,43266
2010-04-22,745.010498046875,752.7728474723727,739.8681700871321,744.9518308752572,25590
2010-04-23,742.4491577148438,752.3818591657312,739.0861298457546,752.3818591657312,11862
2010-04-26,736.64208984375,748.0412324600055,730.2484175493801,730.2484175493801,7940
2010-04-27,737.3068237304688,749.6054018995023,736.0554800747216,739.0861242349442,19038
2010-04-28,741.862548828125,748.8623685038385,729.3098262452527,730.2483578208046,25946
2010-04-29,736.2706298828125,750.7395127164516,734.0416111832349,742.9966860517361,23854
2010-04-30,748.0607299804688,754.806357373521,724.4608199235099,724.4608199235099,30036
2010-05-03,742.4100341796875,752.7337861036215,741.041356213067,750.4265765556072,16934
2010-05-04,738.5581665039062,748.8623464232168,728.1366522402243,748.8623464232168,44496
2010-05-05,760.82861328125,766.029609289398,735.1756840652627,735.1756840652627,115314
2010-05-06,776.353271484375,780.1464456345337,749.7422420515338,749.7422420515338,63690
2010-05-07,759.733642578125,774.2807157185567,757.0744775914777,774.2807157185567,46924
2010-05-10,780.57666015625,789.1015885233804,761.4151668365434,761.4151668365434,41000
2010-05-11,781.2413940429688,787.8501151079051,773.8896190927301,773.8896190927301,116958
2010-05-12,804.6849365234375,807.1290044876079,778.5822906660985,778.5822906660985,74044
2010-05-13,833.8768310546875,838.6672041780367,791.7802433878578,791.7802433878578,75230
2010-05-14,836.848876953125,840.759385723934,819.6426383615654,836.848876953125,26360
2010-05-17,844.8458862304688,852.0998994203208,828.6368457419272,834.1115582668857,15410
